,,,,,,,,,,
LFID,CUSTID,PUBTYPE,STATE,LEGTYPE,LEGNO,ADOPTION_DATE,LONG_TITLE,ACTION_CLASSIFICATION,DISPOSITION,Redline
2343559,WO6521,CODE,TX,Ordinance,2025-008,4/21/25,"AN ORDINANCE OF THE CITY COUNCIL OF THE CITY OF
WOLFFORTH AMENDING THE ZONING MAP AS IT RELATES TO
PROPERTY KNOWN AS WINDSOR ESTATES AT PRESTON MANOR
TRACT A AC: 2.32, WOLFFORTH, LUBBOCK COUNTY, TEXAS, BY
AMENDING THE ZONING DESIGNATION FROM R-1 TO C- 1;
PROVIDING A SEVERABILITY CLAUSE; PROVIDING FOR THE
REPEAL OF ORDINANCES AND PORTIONS OF ORDINANCES IN
CONFLICT HEREWITH; AND PROVIDING AN EFFECTIVE DATE.",NCM,N-REZ,
2345730,WI6515,CODE,MI,Ordinance,2025-0220B,2/20/25,"AN ORDINANCE OF THE BOARD OF ALDERMEN OF THE CITY OF WILLARD, MISSOURI,
AUTHORIZING THE MAYOR TO ENTER INTO A CONTRACT WITH CULPEPPER &
MERRIWEATHER CIRCUS",NCM,N-CUP,
2353028,WI3481,CODE,MI,Ord. No.,250414A,4/28/25,"AN ORDINANCE OF THE BOARD OF ALDERMEN OF THE CITY OF WILLARD, MISSOURI,
AUTHORIZING THE MAYOR TO ENTER INTO A CONTRACT WITH CULPEPPER &
MERRIWEATHER CIRCUS",NCM,N-CON,
2346078,TR3145,CODE,TX,Ordinance,2025-16,4/28/25,"AN ORDINANCE APPROVING AND AUTHORIZING THE ISSUANCE
AND SALE OF TROPHY CLUB PUBLIC IMPROVEMENT DISTRICT
NO. 1 SPECIAL ASSESSMENT REVENUE REFUNDING BONDS,
SERIES 2025 ( TOWN OF TROPHY CLUB, TEXAS) IN THE
AGGREGATE NOT TO EXCEED PRINCIPAL AMOUNT OF $ 1790009000;
APPROVING AND AUTHORIZING AN INDENTURE OF TRUST, A
BOND PURCHASE CONTRACT, AN OFFICIAL STATEMENT, A
CONTINUING DISCLOSURE AGREEMENT, A DEPOSIT AGREEMENT
AND OTHER AGREEMENTS AND DOCUMENTS IN CONNECTION
THEREWITH; MAKING FINDINGS WITH RESPECT TO THE
ISSUANCE OF SUCH BONDS; AND PROVIDING AN EFFECTIVE DATE",NCM,N-B,
2345795,SO0444,CODE,NJ,Ord. No.,2025-07,2/24/25,"AN ORDINANCE OF THE BOROUGH OF SOUTH RIVER, COUNTY OF MIDDLESEX, STATE OF NEW JERSEY
ADOPTING THE AMENDMENTS TO SUB -AREA 152 OF THE LOWER MAIN STREET REDEVELOPMENT
PLAN",NCM,N-RP,
2350293,RO0437,CODE,NJ,Ord. No.,2816,5/1/25,"AN ORDINANCE TO EXCEED THE MUNICIPAL BUDGET APPROPRIATION LIMITS AND
ESTABLISH A CAP BANK FOR CALENDAR YEAR 2025 PURSUANT TO N.J.S.A. 40A: 4-45.14",NCM,N-EBCB,
2345819,VE0815,CODE,NJ,Ord. No.,2025-08,4/7/25,"AMENDING CHAPTER 140, VEHICLES & TRAFFIC, ARTICLE XII,
SCHEDULE IV “TIME LIMIT PARKING”",Amends,140,X
2345195,DE2129,CODE,DE,Ord. No.,855,4/25/25,"AN ORDINANCE TO AMEND CHAPTER 1, DEFINITIONS, AND CHAPTER 167, TAXATION, TO DEFINE
ACCOMMODATIONS INTERMEDIARY"" AND REVISE THE PROCEDURES RELATING TO THE REMITTANCE
OF THE ACCOMMODATIONS TAX",Amends,1:III; 167:III,X
2343853,CO1733,CODE,RI,Ord. No.,2025-04,3/25/25,"IN AMENDMENT OF THE TOWN OF COVENTRY CODE OF ORDINANCES,
2008 PART II —G ENERAL LEGISLATION,
CHAPTER 255, ARTICLE VIII —N onconforming Development",Amends,255,X
2345181,BU0877,CODE,NJ,Ord. No.,768,4/28/25,"ORDINANCE AMENDING CHAPTER 115 FEES, ARTICLE II FEES FOR
EMERGENCY SERVICES",Amends,115,
